OID_;x_deg;y_deg;name;y;x
;-73.997572000000005;40.734307000000001;Alta Restaurant 64 West 10th Street New York. NY (212) 505-7777	;6342109.092005149461329;-3296907.196510984096676
;-74.005813000000003;40.719855000000003;Anotheroom 249 West Broadway New York. NY (212) 226-1418	;6344249.926440689712763;-3297508.178793582599610
;-73.981155999999999;40.724291999999998;Against the Grain 620 East 6th Street. East Village (between Avenues B and C) New York. NY (212) 358-7065	;6343270.920737548731267;-3294969.420355373993516
;-74.003202999999999;40.731896999999996;Blind Tiger Ale House(closed?)(Cask) 281 Bleecker Street. West Village New York. NY (212) 426-4682	;6342527.866150789894164;-3297460.235807707998902
;-73.983721000000003;40.742367000000002;Blue Smoke 116 East 27th Street (between Park Avenue South and Lexington Avenue) New York. NY (212) 447-7479	;6340780.793594839982688;-3295587.937394278123975
;-73.969269999999995;40.797860000000000;Broadway Dive 2662 Broadway (at West 101st Street) New York. NY (212) 856-2662	;6332813.530843484215438;-3295112.325516856741160
;-73.950892999999994;40.779038999999997;Cafe D'Alsace 1695 2nd Avenue (at East 88th Street) New York. NY (212) 722-5133;6335176.748718804679811;-3292800.286313031334430
;-74.008309999999994;40.745539999999998;Chelsea Brewing Company Pier 59. Chelsea Piers (West Side Highway at West 18th Street) New York. NY (212) 336-6440;6340693.991492172703147;-3298263.582245708908886
;-73.986005000000006;40.726671000000003;Counter Vegetarian Restaurant & Wine Bar 105 First Avenue (between East 6th and 7th Streets) New York. NY (212) 982-5870;6343008.811616351827979;-3295530.799032509792596
;-73.987899999999996;40.759827000000001;The Collins Bar (Cask) 735 8th Avenue (at West 46th Street) New York. NY (212) 541-4206;6338400.294883226044476;-3296365.782221316359937
;-73.989446000000001;40.738275000000002;Craft Restaurant 43 East 19th Street New York. NY (212) 780-0666;6341436.178477101959288;-3296118.621167983394116
;-73.983210000000000;40.722380000000001;Croxley Ales (Cask) 28 Avenue B New York. NY (212) 253-6140;6343568.197066768072546;-3295151.361434082500637
;-73.952703000000000;40.768286000000003;David Copperfield's (Cask) 1394 York Avenue (at East 74th Street) New York. NY (212) 734-6152;6336705.992829143069685;-3292786.577075880486518
;-73.987809999999996;40.724220000000003;d.b.a. (Cask) 41 1st Avenue. East Village (between 2nd and 3rd Streets) New York. NY (212) 475-5097;6343377.823917073197663;-3295675.964099752716720
;-73.957594999999998;40.817829000000003;Dinosaur Grill 646 W 131st St New York. NY (212) 694-1777	;6329853.585517141968012;-3294254.107674941886216
;-73.977368999999996;40.779364000000001;Dive 75 101 West 75th Street (Off Columbus Avenue) New York. NY (212) 362-7518	;6335516.247304621152580;-3295619.503834092989564
;-73.970489999999998;40.793883000000001;Dive Bar 732 Amsterdam Avenue (at West 96th Street) New York. NY (212) 749-4358	;6333387.058459154330194;-3295165.955812453292310
;-73.980857999999998;40.729725000000002;Drop Off Service (Cask) 211 Avenue A (between East 13th and 14th Streets) New York. NY (212) 260-2914	;6342506.855754517018795;-3295041.674596407450736
;-73.960462000000007;40.761662000000001;East Side Steak and Ale House 1134 First Avenue (at East 62nd Street) New York. NY (212) 223-5800	;6337744.883713009767234;-3293484.274439688306302
;-73.986438000000007;40.721950999999997;Essex Ale House 179 Essex Street New York. NY (212) 505-6027	;6343675.170888284221292;-3295486.599265383556485
;-73.993053000000003;40.727003000000003;Five Points Restuarant 31 Great Jones Street New York. NY (212) 253-5700	;6343064.871732802130282;-3296286.965998050756752
;-73.976336000000003;40.785876000000002;George Keeley (Cask) 485 Amsterdam Avenue (at West 83rd Street) New York. NY (212) 873-0251	;6334591.019884156994522;-3295634.081688466481864
;-73.982894999999999;40.749417999999999;The Ginger Man (Cask) 11 East 36th Street (between 5th and Madison Avenues) New York. NY (212) 532-3740	;6339782.919971135444939;-3295634.856060194317251
;-74.002357000000003;40.730361000000002;Greenwich Village Bisro 13 Carmine Street New York. NY (212) 206-9777	;6342730.399646591395140;-3297340.926617421209812
;-73.989455000000007;40.739046000000002;Gramercy Tavern 42 East 20th Street New York. NY (212) 477-0777	;6341328.498640658333898;-3296134.307315750978887
;-73.979833999999997;40.760711999999998;Heartland Brewery Radio City 1285 6th Avenue (at 51st Street) Avenue of the Americas New York. NY (212) 582-8244;6338159.441490758210421;-3295525.223540439736098
;-73.984296000000001;40.755799000000003;Heartland Brewery Spanky's 127 W 43rd St New York. NY (646) 366-0235;6338911.125246372073889;-3295905.720951585099101
;-73.990592000000007;40.736713999999999;Heartland Brewery Union Square 35 Union Sq W	New York. NY (212) 645-3400;6341671.111364782787859;-3296210.692923338618129
;-74.002781999999996;40.706459000000002;Heartland Brewery BBQ 93 South St New York. NY (646) 572-2337;6346079.597801797091961;-3296929.828735251910985
;-73.984791000000001;40.748434000000003;Heartland Brewery Roitisserie 350 5th Ave (Empire State Building) New York. NY (212) 563-3433;6339948.051338706165552;-3295817.659877660218626
;-74.004620000000003;40.731000000000002;Hercules Fancy Grocery 27 Morton Street New York. NY (212) 929-6546;6342673.876665362156928;-3297593.874719711486250
;-73.984470000000002;40.727290000000004;Hop Devil Grill (Cask) 129 St. Marks Place (off Avenue A) New York. NY (212) 533-4467;6342899.918222995474935;-3295379.336852895561606
;-73.985704999999996;40.762939000000003;House of Brews (Cask) 302 West 51st Street New York. NY (212) 541-7080;6337933.353471045382321;-3296191.847927425522357
;-73.989722000000000;40.760548000000000;House of Brews 363 West 46th Street New York. NY (212) 245-0551;6338325.932281137444079;-3296573.237853863742203
;-74.005004000000000;40.718660000000000;ILounge 277 Church Street New York. NY (212) 625-0505;6344405.319071389734745;-3297399.282265092246234
;-73.988360000000000;40.728087000000002;Jimmy's No. 43 (Cask) 43 East 7th Street (between 2nd and 3rd Avenues) New York. NY (212) 982-3006;6342845.050605889409781;-3295808.408352992963046
;-73.988330000000005;40.723509999999997;Lil' Frankie's Restuarant 19 1st Avenue New York. NY (212) 420-4900;6343484.678340491838753;-3295717.713286856189370
;-73.977226999999999;40.756093000000000;Maggie's Place 21 East 47th Street (at Madison Avenue) New York. NY (212) 753-5757;6338767.306949974969029;-3295159.809500847477466
;-73.989966999999993;40.720565999999998;Marshall Stack 66 Rivington Street (at Allen Street) New York. NY (212) 228-4667;6343920.203419194556773;-3295835.599835596513003
;-73.992512000000005;40.720716000000003;New Beer Distributors 167 Chrystie Street New York. NY (212) 473-8757;6343936.240493975579739;-3296109.264147600624710
;-73.989729999999994;40.737699999999997;Old Town Bar 45 East 18th Street New York. NY (212) 529-6732;6341520.709260428324342;-3296137.843114883638918
;-74.008099999999999;40.734839999999998;The Other Room 143 Perry Street New York. NY (212) 645-9758;6342187.320397126488388;-3298037.321432594209909
