OBJECTID;ADRESA;OTEVRENO;CENA;x_coord;y_coord;x;y
1;Praha 7. Milady Horákové 98;po-ne 7:00-24:00;zdarma;14;50;1041691.3750000;743133.1250000
2; ;nonstop;jednotná cena 5 Kč;14;50;1041643.2500000;742502.1875000
3; ;"po-pá 6:00-21:00; so-ne 8:00-20:00";jednotná cena 10 Kč;14;50;1041862.5625000;741405.5625000
4; ;"po-pá 6:00-21:00; so-ne 8:00-20:00";jednotná cena 10 Kč;14;50;1040892.9375000;741123.7500000
5;Praha 7. Partyzánská 7;po-pá 7:00-16:00;zdarma;14;50;1040830.1250000;741422.1250000
6;Bubenské nábř. 306/13;po-so 8:00-20:00;zdarma;14;50;1042011.6250000;740928.8125000
7;Bubenské nábř. 306/13;po-pá 8:00-16:00;zdarma;14;50;1041866.5625000;740903.5625000
8;Praha 7. Partyzánská;po-ne 6:00-21:00;10/15 Kč;14;50;1040741.3750000;741138.1250000
9; ;nonstop;jednotná cena 5 Kč;14;50;1043919.3125000;740408.1250000
10;Vinohradská . Praha 3;listopad prosinec leden únor 8:00-17:00.březen duben říjen+dušičky 8:00-18:00.květen-září;jednotná cena 5 Kč;14;50;1044454.3125000;739678.1875000
11;Vinohradská 2828/151;"po-so 9:00-24:00; ne 10:00-24:00";zdarma;14;50;1044356.6250000;740110.5000000
12; ;"po-pá 6:00-21:00; so-ne 8:00-21:00";jednotná cena 10 Kč;14;50;1044495.8125000;739197.9375000
13; ;"po-pá 6:00-21:00; so-ne 8:00-20:00";8/5 Kč;14;50;1044432.6875000;740112.1250000
14; ;nonstop;jednotná cena 5 Kč;14;50;1044431.0000000;740526.4375000
15; ; ;8/5 Kč;14;50;1044402.5000000;740978.5625000
16; ;po-ne 9:00-21:00;zdarma;15;50;1045861.3125000;734421.8125000
17;Praha 10 Štěrboholy. Zamenhofova 440;po-ne 10:00-20:00;zdarma;15;50;1045390.5000000;734603.8125000
18;Praha 10 Štěrboholy. Zamenhofova 440;po-ne 10:00-20:00;zdarma;15;50;1045586.9375000;734461.6250000
19;Praha 10 Štěrboholy. Zamenhofova 440;po-ne  10:00-20:00;zdarma;15;50;1045663.1250000;734658.8125000
20;Sokolovská 2080;po-ne 6:00-01:00;jednotná cena 10 Kč (možnost odečíst formou konzumace);14;50;1042840.5625000;741597.9375000
21;Křižíkova 6/344. Praha 8;po-ne 05:00-23:30;jednotná cena 10 Kč/0.40 E;14;50;1042982.6875000;741472.8125000
22;Praha 9. Českobrodská;5:00-24:00;zdarma;15;50;1045853.1250000;728159.3125000
23; ;po-ne 02:45-00:30;jednotná cena 10 Kč/0.40 E;14;50;1043036.1875000;741401.2500000
24;Praha 2. Wilsonova 8;po-ne 03:15-00:45;jednotná cena 20 Kč/1 E;14;50;1043558.1250000;741830.8125000
25; ;"po-pá 6:00-21:00; so-ne 8:00-20:00";8/5 Kč;15;50;1045159.6875000;736260.5000000
26; ;"po-pá 6:00-21:00; so-ne 8:00-21:00";jednotná cena 10 Kč;14;50;1042243.9375000;748237.2500000
27; ;"po-pá 6:00-21:00; so-ne 8:00-21:00";jednotná cena 10 Kč;14;50;1041400.8750000;747907.3750000
28; ;"po-pá 6:00-21:00; so-ne 8:00-21:00";jednotná cena 10 Kč;14;50;1041239.6250000;746654.0000000
29;Národní 25/961. Praha 1;nonstop;zdarma;14;50;1043556.5625000;743092.3750000
30;Etiopská 686/3. Praha 6;"po-čt 8:00-22:30; pá 8:00-01:00; so 9:00-01:00; ne 10:00-01:00";zdarma;14;50;1041320.4375000;747403.8750000
31;Kaprova 14. Praha 1;"po-čt 8:00-24:00; pá 8:00-01:00; so 9:00-01:00; ne 09:00-24:00";zdarma;14;50;1042933.8125000;743008.6875000
32;Na Poříčí 46. Praha 1;"po-pá 8:00-24:00;  so 9:00-24:00; ne 10:00-23:00";zdarma;14;50;1042850.5000000;741690.0000000
33;Vítězné náměstí 1. Praha 6;"po-čt 7:00-01:00; pá 7:00-02:00; so 9:00-02:00; ne 09:00-23:00";zdarma;14;50;1041405.1875000;744387.4375000
34;Václavské náměstí 801/52. Praha 1;"po-st 9:00-01:00; čt 9.00-06.00; pá-so nonstop; ne 00:00-01:00";jednotná cena 10 Kč (možnost odečíst formou konzumace);14;50;1043855.0625000;742425.3125000
